Founders Demo Co,,,,,,,,
General Ledger,,,,,,,,
January 1, 2024 - December 31, 2026,,,,,,,,
,12/06/2025,Invoice,1256,Client,Consulting engagement,1200 Accounts Receivable,-10588.00,-194094.00
,01/06/2026,Invoice,1267,Client,Consulting engagement,1200 Accounts Receivable,-10852.00,-204946.00
,02/06/2026,Invoice,1278,Client,Consulting engagement,1200 Accounts Receivable,-11124.00,-216070.00
,03/06/2026,Invoice,1289,Client,Consulting engagement,1200 Accounts Receivable,-11402.00,-227472.00
,04/06/2026,Invoice,1300,Client,Consulting engagement,1200 Accounts Receivable,-11687.00,-239159.00
,05/06/2026,Invoice,1311,Client,Consulting engagement,1200 Accounts Receivable,-11979.00,-251138.00
,06/06/2026,Invoice,1322,Client,Consulting engagement,1200 Accounts Receivable,-12278.00,-263416.00
,07/06/2026,Invoice,1333,Client,Consulting engagement,1200 Accounts Receivable,-12585.00,-276001.00
,08/06/2026,Invoice,1344,Client,Consulting engagement,1200 Accounts Receivable,-12900.00,-288901.00
,09/06/2026,Invoice,1355,Client,Consulting engagement,1200 Accounts Receivable,-13223.00,-302124.00
,10/06/2026,Invoice,1366,Client,Consulting engagement,1200 Accounts Receivable,-13553.00,-315677.00
,11/06/2026,Invoice,1377,Client,Consulting engagement,1200 Accounts Receivable,-13892.00,-329569.00
,12/06/2026,Invoice,1388,Client,Consulting engagement,1200 Accounts Receivable,-14239.00,-343808.00
Total for 4100 Consulting Revenue,,,,,,,-343808.00,-343808.00
5000 Cost of Goods Sold,,,,,,,,
,01/08/2024,Bill,1005,Supplier,Inventory / materials,2000 Accounts Payable,6300.00,6300.00
,02/08/2024,Bill,1016,Supplier,Inventory / materials,2000 Accounts Payable,6458.00,12758.00
,03/08/2024,Bill,1027,Supplier,Inventory / materials,2000 Accounts Payable,6619.00,19377.00
,04/08/2024,Bill,1038,Supplier,Inventory / materials,2000 Accounts Payable,6784.00,26161.00
,05/08/2024,Bill,1049,Supplier,Inventory / materials,2000 Accounts Payable,6954.00,33115.00
,06/08/2024,Bill,1060,Supplier,Inventory / materials,2000 Accounts Payable,7128.00,40243.00
,07/08/2024,Bill,1071,Supplier,Inventory / materials,2000 Accounts Payable,7306.00,47549.00
,08/08/2024,Bill,1082,Supplier,Inventory / materials,2000 Accounts Payable,7489.00,55038.00
,09/08/2024,Bill,1093,Supplier,Inventory / materials,2000 Accounts Payable,7676.00,62714.00
,10/08/2024,Bill,1104,Supplier,Inventory / materials,2000 Accounts Payable,7868.00,70582.00
,11/08/2024,Bill,1115,Supplier,Inventory / materials,2000 Accounts Payable,8064.00,78646.00
,12/08/2024,Bill,1126,Supplier,Inventory / materials,2000 Accounts Payable,8266.00,86912.00
,01/08/2025,Bill,1137,Supplier,Inventory / materials,2000 Accounts Payable,8473.00,95385.00
,02/08/2025,Bill,1148,Supplier,Inventory / materials,2000 Accounts Payable,8685.00,104070.00
,03/08/2025,Bill,1159,Supplier,Inventory / materials,2000 Accounts Payable,8902.00,112972.00
,04/08/2025,Bill,1170,Supplier,Inventory / materials,2000 Accounts Payable,9124.00,122096.00
,05/08/2025,Bill,1181,Supplier,Inventory / materials,2000 Accounts Payable,9353.00,131449.00
,06/08/2025,Bill,1192,Supplier,Inventory / materials,2000 Accounts Payable,9586.00,141035.00
,07/08/2025,Bill,1203,Supplier,Inventory / materials,2000 Accounts Payable,9826.00,150861.00
,08/08/2025,Bill,1214,Supplier,Inventory / materials,2000 Accounts Payable,10072.00,160933.00
,09/08/2025,Bill,1225,Supplier,Inventory / materials,2000 Accounts Payable,10323.00,171256.00
,10/08/2025,Bill,1236,Supplier,Inventory / materials,2000 Accounts Payable,10581.00,181837.00
,11/08/2025,Bill,1247,Supplier,Inventory / materials,2000 Accounts Payable,10846.00,192683.00
,12/08/2025,Bill,1258,Supplier,Inventory / materials,2000 Accounts Payable,11117.00,203800.00
,01/08/2026,Bill,1269,Supplier,Inventory / materials,2000 Accounts Payable,11395.00,215195.00
,02/08/2026,Bill,1280,Supplier,Inventory / materials,2000 Accounts Payable,11680.00,226875.00
,03/08/2026,Bill,1291,Supplier,Inventory / materials,2000 Accounts Payable,11972.00,238847.00
,04/08/2026,Bill,1302,Supplier,Inventory / materials,2000 Accounts Payable,12271.00,251118.00
,05/08/2026,Bill,1313,Supplier,Inventory / materials,2000 Accounts Payable,12578.00,263696.00
,06/08/2026,Bill,1324,Supplier,Inventory / materials,2000 Accounts Payable,12892.00,276588.00
,07/08/2026,Bill,1335,Supplier,Inventory / materials,2000 Accounts Payable,13215.00,289803.00
,08/08/2026,Bill,1346,Supplier,Inventory / materials,2000 Accounts Payable,13545.00,303348.00
,09/08/2026,Bill,1357,Supplier,Inventory / materials,2000 Accounts Payable,13884.00,317232.00
,10/08/2026,Bill,1368,Supplier,Inventory / materials,2000 Accounts Payable,14231.00,331463.00
,11/08/2026,Bill,1379,Supplier,Inventory / materials,2000 Accounts Payable,14587.00,346050.00
,12/08/2026,Bill,1390,Supplier,Inventory / materials,2000 Accounts Payable,14951.00,361001.00
Total for 5000 Cost of Goods Sold,,,,,,,361001.00,361001.00
6000 Payroll Expense,,,,,,,,
,01/15/2024,Check,1007,Staff,Payroll run,1000 Checking,8000.00,8000.00
,02/15/2024,Check,1018,Staff,Payroll run,1000 Checking,8000.00,16000.00
,03/15/2024,Check,1029,Staff,Payroll run,1000 Checking,8000.00,24000.00
,04/15/2024,Check,1040,Staff,Payroll run,1000 Checking,8000.00,32000.00
,05/15/2024,Check,1051,Staff,Payroll run,1000 Checking,8000.00,40000.00
,06/15/2024,Check,1062,Staff,Payroll run,1000 Checking,8000.00,48000.00
,07/15/2024,Check,1073,Staff,Payroll run,1000 Checking,8000.00,56000.00
,08/15/2024,Check,1084,Staff,Payroll run,1000 Checking,8000.00,64000.00
,09/15/2024,Check,1095,Staff,Payroll run,1000 Checking,8000.00,72000.00
,10/15/2024,Check,1106,Staff,Payroll run,1000 Checking,8000.00,80000.00
,11/15/2024,Check,1117,Staff,Payroll run,1000 Checking,8000.00,88000.00
,12/15/2024,Check,1128,Staff,Payroll run,1000 Checking,8000.00,96000.00
,01/15/2025,Check,1139,Staff,Payroll run,1000 Checking,9500.00,105500.00
,02/15/2025,Check,1150,Staff,Payroll run,1000 Checking,9500.00,115000.00
,03/15/2025,Check,1161,Staff,Payroll run,1000 Checking,9500.00,124500.00
,04/15/2025,Check,1172,Staff,Payroll run,1000 Checking,9500.00,134000.00
,05/15/2025,Check,1183,Staff,Payroll run,1000 Checking,9500.00,143500.00
,06/15/2025,Check,1194,Staff,Payroll run,1000 Checking,9500.00,153000.00
,07/15/2025,Check,1205,Staff,Payroll run,1000 Checking,9500.00,162500.00
,08/15/2025,Check,1216,Staff,Payroll run,1000 Checking,9500.00,172000.00
,09/15/2025,Check,1227,Staff,Payroll run,1000 Checking,9500.00,181500.00
,10/15/2025,Check,1238,Staff,Payroll run,1000 Checking,9500.00,191000.00
,11/15/2025,Check,1249,Staff,Payroll run,1000 Checking,9500.00,200500.00
,12/15/2025,Check,1260,Staff,Payroll run,1000 Checking,9500.00,210000.00
,01/15/2026,Check,1271,Staff,Payroll run,1000 Checking,11000.00,221000.00
,02/15/2026,Check,1282,Staff,Payroll run,1000 Checking,11000.00,232000.00
,03/15/2026,Check,1293,Staff,Payroll run,1000 Checking,11000.00,243000.00
,04/15/2026,Check,1304,Staff,Payroll run,1000 Checking,11000.00,254000.00
,05/15/2026,Check,1315,Staff,Payroll run,1000 Checking,11000.00,265000.00
,06/15/2026,Check,1326,Staff,Payroll run,1000 Checking,11000.00,276000.00
,07/15/2026,Check,1337,Staff,Payroll run,1000 Checking,11000.00,287000.00
,08/15/2026,Check,1348,Staff,Payroll run,1000 Checking,11000.00,298000.00
,09/15/2026,Check,1359,Staff,Payroll run,1000 Checking,11000.00,309000.00
,10/15/2026,Check,1370,Staff,Payroll run,1000 Checking,11000.00,320000.00
,11/15/2026,Check,1381,Staff,Payroll run,1000 Checking,11000.00,331000.00
,12/15/2026,Check,1392,Staff,Payroll run,1000 Checking,11000.00,342000.00
Total for 6000 Payroll Expense,,,,,,,342000.00,342000.00
6100 Rent Expense,,,,,,,,
,01/01/2024,Check,1008,Landlord,Office rent,1000 Checking,2600.00,2600.00
,02/01/2024,Check,1019,Landlord,Office rent,1000 Checking,2600.00,5200.00
,03/01/2024,Check,1030,Landlord,Office rent,1000 Checking,2600.00,7800.00
,04/01/2024,Check,1041,Landlord,Office rent,1000 Checking,2600.00,10400.00
,05/01/2024,Check,1052,Landlord,Office rent,1000 Checking,2600.00,13000.00
,06/01/2024,Check,1063,Landlord,Office rent,1000 Checking,2600.00,15600.00
,07/01/2024,Check,1074,Landlord,Office rent,1000 Checking,2600.00,18200.00
,08/01/2024,Check,1085,Landlord,Office rent,1000 Checking,2600.00,20800.00
,09/01/2024,Check,1096,Landlord,Office rent,1000 Checking,2600.00,23400.00
,10/01/2024,Check,1107,Landlord,Office rent,1000 Checking,2600.00,26000.00
,11/01/2024,Check,1118,Landlord,Office rent,1000 Checking,2600.00,28600.00
,12/01/2024,Check,1129,Landlord,Office rent,1000 Checking,2600.00,31200.00
,01/01/2025,Check,1140,Landlord,Office rent,1000 Checking,2800.00,34000.00
,02/01/2025,Check,1151,Landlord,Office rent,1000 Checking,2800.00,36800.00
,03/01/2025,Check,1162,Landlord,Office rent,1000 Checking,2800.00,39600.00
,04/01/2025,Check,1173,Landlord,Office rent,1000 Checking,2800.00,42400.00
,05/01/2025,Check,1184,Landlord,Office rent,1000 Checking,2800.00,45200.00
,06/01/2025,Check,1195,Landlord,Office rent,1000 Checking,2800.00,48000.00
,07/01/2025,Check,1206,Landlord,Office rent,1000 Checking,2800.00,50800.00
,08/01/2025,Check,1217,Landlord,Office rent,1000 Checking,2800.00,53600.00
,09/01/2025,Check,1228,Landlord,Office rent,1000 Checking,2800.00,56400.00
,10/01/2025,Check,1239,Landlord,Office rent,1000 Checking,2800.00,59200.00
,11/01/2025,Check,1250,Landlord,Office rent,1000 Checking,2800.00,62000.00
,12/01/2025,Check,1261,Landlord,Office rent,1000 Checking,2800.00,64800.00
,01/01/2026,Check,1272,Landlord,Office rent,1000 Checking,3000.00,67800.00
,02/01/2026,Check,1283,Landlord,Office rent,1000 Checking,3000.00,70800.00
,03/01/2026,Check,1294,Landlord,Office rent,1000 Checking,3000.00,73800.00
,04/01/2026,Check,1305,Landlord,Office rent,1000 Checking,3000.00,76800.00
,05/01/2026,Check,1316,Landlord,Office rent,1000 Checking,3000.00,79800.00
,06/01/2026,Check,1327,Landlord,Office rent,1000 Checking,3000.00,82800.00
,07/01/2026,Check,1338,Landlord,Office rent,1000 Checking,3000.00,85800.00
,08/01/2026,Check,1349,Landlord,Office rent,1000 Checking,3000.00,88800.00
,09/01/2026,Check,1360,Landlord,Office rent,1000 Checking,3000.00,91800.00
,10/01/2026,Check,1371,Landlord,Office rent,1000 Checking,3000.00,94800.00
,11/01/2026,Check,1382,Landlord,Office rent,1000 Checking,3000.00,97800.00
,12/01/2026,Check,1393,Landlord,Office rent,1000 Checking,3000.00,100800.00
Total for 6100 Rent Expense,,,,,,,100800.00,100800.00
6200 Marketing Expense,,,,,,,,
,01/12/2024,Credit Card Charge,1009,Ads,Advertising,2100 Credit Card,1300.00,1300.00
,02/12/2024,Credit Card Charge,1020,Ads,Advertising,2100 Credit Card,1339.00,2639.00
,03/12/2024,Credit Card Charge,1031,Ads,Advertising,2100 Credit Card,1379.00,4018.00
,04/12/2024,Credit Card Charge,1042,Ads,Advertising,2100 Credit Card,1421.00,5439.00
,05/12/2024,Credit Card Charge,1053,Ads,Advertising,2100 Credit Card,1463.00,6902.00
,06/12/2024,Credit Card Charge,1064,Ads,Advertising,2100 Credit Card,1507.00,8409.00
,07/12/2024,Credit Card Charge,1075,Ads,Advertising,2100 Credit Card,1552.00,9961.00
,08/12/2024,Credit Card Charge,1086,Ads,Advertising,2100 Credit Card,1599.00,11560.00
,09/12/2024,Credit Card Charge,1097,Ads,Advertising,2100 Credit Card,1647.00,13207.00
,10/12/2024,Credit Card Charge,1108,Ads,Advertising,2100 Credit Card,1696.00,14903.00
,11/12/2024,Credit Card Charge,1119,Ads,Advertising,2100 Credit Card,1747.00,16650.00
,12/12/2024,Credit Card Charge,1130,Ads,Advertising,2100 Credit Card,1800.00,18450.00
,01/12/2025,Credit Card Charge,1141,Ads,Advertising,2100 Credit Card,1853.00,20303.00
,02/12/2025,Credit Card Charge,1152,Ads,Advertising,2100 Credit Card,1909.00,22212.00
,03/12/2025,Credit Card Charge,1163,Ads,Advertising,2100 Credit Card,1966.00,24178.00
,04/12/2025,Credit Card Charge,1174,Ads,Advertising,2100 Credit Card,2025.00,26203.00
,05/12/2025,Credit Card Charge,1185,Ads,Advertising,2100 Credit Card,2086.00,28289.00
,06/12/2025,Credit Card Charge,1196,Ads,Advertising,2100 Credit Card,2149.00,30438.00
,07/12/2025,Credit Card Charge,1207,Ads,Advertising,2100 Credit Card,2213.00,32651.00
,08/12/2025,Credit Card Charge,1218,Ads,Advertising,2100 Credit Card,2280.00,34931.00
,09/12/2025,Credit Card Charge,1229,Ads,Advertising,2100 Credit Card,2348.00,37279.00
,10/12/2025,Credit Card Charge,1240,Ads,Advertising,2100 Credit Card,2418.00,39697.00
,11/12/2025,Credit Card Charge,1251,Ads,Advertising,2100 Credit Card,2491.00,42188.00
,12/12/2025,Credit Card Charge,1262,Ads,Advertising,2100 Credit Card,2566.00,44754.00
,01/12/2026,Credit Card Charge,1273,Ads,Advertising,2100 Credit Card,2643.00,47397.00
,02/12/2026,Credit Card Charge,1284,Ads,Advertising,2100 Credit Card,2722.00,50119.00
,03/12/2026,Credit Card Charge,1295,Ads,Advertising,2100 Credit Card,2804.00,52923.00
,04/12/2026,Credit Card Charge,1306,Ads,Advertising,2100 Credit Card,2888.00,55811.00
,05/12/2026,Credit Card Charge,1317,Ads,Advertising,2100 Credit Card,2974.00,58785.00
,06/12/2026,Credit Card Charge,1328,Ads,Advertising,2100 Credit Card,3064.00,61849.00
,07/12/2026,Credit Card Charge,1339,Ads,Advertising,2100 Credit Card,3155.00,65004.00
,08/12/2026,Credit Card Charge,1350,Ads,Advertising,2100 Credit Card,3250.00,68254.00
,09/12/2026,Credit Card Charge,1361,Ads,Advertising,2100 Credit Card,3348.00,71602.00
,10/12/2026,Credit Card Charge,1372,Ads,Advertising,2100 Credit Card,3448.00,75050.00
,11/12/2026,Credit Card Charge,1383,Ads,Advertising,2100 Credit Card,3551.00,78601.00
,12/12/2026,Credit Card Charge,1394,Ads,Advertising,2100 Credit Card,3658.00,82259.00
Total for 6200 Marketing Expense,,,,,,,82259.00,82259.00
7000 Interest Income,,,,,,,,
,01/30/2024,Deposit,1011,Bank,Interest earned,1000 Checking,-45.00,-45.00
,02/30/2024,Deposit,1022,Bank,Interest earned,1000 Checking,-45.00,-90.00
,03/30/2024,Deposit,1033,Bank,Interest earned,1000 Checking,-45.00,-135.00
,04/30/2024,Deposit,1044,Bank,Interest earned,1000 Checking,-45.00,-180.00
,05/30/2024,Deposit,1055,Bank,Interest earned,1000 Checking,-45.00,-225.00
,06/30/2024,Deposit,1066,Bank,Interest earned,1000 Checking,-45.00,-270.00
,07/30/2024,Deposit,1077,Bank,Interest earned,1000 Checking,-45.00,-315.00
,08/30/2024,Deposit,1088,Bank,Interest earned,1000 Checking,-45.00,-360.00
,09/30/2024,Deposit,1099,Bank,Interest earned,1000 Checking,-45.00,-405.00
,10/30/2024,Deposit,1110,Bank,Interest earned,1000 Checking,-45.00,-450.00
,11/30/2024,Deposit,1121,Bank,Interest earned,1000 Checking,-45.00,-495.00
,12/30/2024,Deposit,1132,Bank,Interest earned,1000 Checking,-45.00,-540.00
,01/30/2025,Deposit,1143,Bank,Interest earned,1000 Checking,-45.00,-585.00
,02/30/2025,Deposit,1154,Bank,Interest earned,1000 Checking,-45.00,-630.00
,03/30/2025,Deposit,1165,Bank,Interest earned,1000 Checking,-45.00,-675.00
,04/30/2025,Deposit,1176,Bank,Interest earned,1000 Checking,-45.00,-720.00
,05/30/2025,Deposit,1187,Bank,Interest earned,1000 Checking,-45.00,-765.00
,06/30/2025,Deposit,1198,Bank,Interest earned,1000 Checking,-45.00,-810.00
,07/30/2025,Deposit,1209,Bank,Interest earned,1000 Checking,-45.00,-855.00
,08/30/2025,Deposit,1220,Bank,Interest earned,1000 Checking,-45.00,-900.00
,09/30/2025,Deposit,1231,Bank,Interest earned,1000 Checking,-45.00,-945.00
,10/30/2025,Deposit,1242,Bank,Interest earned,1000 Checking,-45.00,-990.00
,11/30/2025,Deposit,1253,Bank,Interest earned,1000 Checking,-45.00,-1035.00
,12/30/2025,Deposit,1264,Bank,Interest earned,1000 Checking,-45.00,-1080.00
,01/30/2026,Deposit,1275,Bank,Interest earned,1000 Checking,-45.00,-1125.00
,02/30/2026,Deposit,1286,Bank,Interest earned,1000 Checking,-45.00,-1170.00
,03/30/2026,Deposit,1297,Bank,Interest earned,1000 Checking,-45.00,-1215.00
,04/30/2026,Deposit,1308,Bank,Interest earned,1000 Checking,-45.00,-1260.00
,05/30/2026,Deposit,1319,Bank,Interest earned,1000 Checking,-45.00,-1305.00
,06/30/2026,Deposit,1330,Bank,Interest earned,1000 Checking,-45.00,-1350.00
,07/30/2026,Deposit,1341,Bank,Interest earned,1000 Checking,-45.00,-1395.00
,08/30/2026,Deposit,1352,Bank,Interest earned,1000 Checking,-45.00,-1440.00
,09/30/2026,Deposit,1363,Bank,Interest earned,1000 Checking,-45.00,-1485.00
,10/30/2026,Deposit,1374,Bank,Interest earned,1000 Checking,-45.00,-1530.00
,11/30/2026,Deposit,1385,Bank,Interest earned,1000 Checking,-45.00,-1575.00
,12/30/2026,Deposit,1396,Bank,Interest earned,1000 Checking,-45.00,-1620.00
Total for 7000 Interest Income,,,,,,,-1620.00,-1620.00
8000 Interest Expense,,,,,,,,
,01/18/2024,Check,1012,Bank,Loan interest,1000 Checking,210.00,210.00
,02/18/2024,Check,1023,Bank,Loan interest,1000 Checking,210.00,420.00
,03/18/2024,Check,1034,Bank,Loan interest,1000 Checking,210.00,630.00
,04/18/2024,Check,1045,Bank,Loan interest,1000 Checking,210.00,840.00
,05/18/2024,Check,1056,Bank,Loan interest,1000 Checking,210.00,1050.00
,06/18/2024,Check,1067,Bank,Loan interest,1000 Checking,210.00,1260.00
,07/18/2024,Check,1078,Bank,Loan interest,1000 Checking,210.00,1470.00
,08/18/2024,Check,1089,Bank,Loan interest,1000 Checking,210.00,1680.00
,09/18/2024,Check,1100,Bank,Loan interest,1000 Checking,210.00,1890.00
,10/18/2024,Check,1111,Bank,Loan interest,1000 Checking,210.00,2100.00
,11/18/2024,Check,1122,Bank,Loan interest,1000 Checking,210.00,2310.00
,12/18/2024,Check,1133,Bank,Loan interest,1000 Checking,210.00,2520.00
,01/18/2025,Check,1144,Bank,Loan interest,1000 Checking,210.00,2730.00
,02/18/2025,Check,1155,Bank,Loan interest,1000 Checking,210.00,2940.00
,03/18/2025,Check,1166,Bank,Loan interest,1000 Checking,210.00,3150.00
,04/18/2025,Check,1177,Bank,Loan interest,1000 Checking,210.00,3360.00
,05/18/2025,Check,1188,Bank,Loan interest,1000 Checking,210.00,3570.00
,06/18/2025,Check,1199,Bank,Loan interest,1000 Checking,210.00,3780.00
,07/18/2025,Check,1210,Bank,Loan interest,1000 Checking,210.00,3990.00
,08/18/2025,Check,1221,Bank,Loan interest,1000 Checking,210.00,4200.00
,09/18/2025,Check,1232,Bank,Loan interest,1000 Checking,210.00,4410.00
,10/18/2025,Check,1243,Bank,Loan interest,1000 Checking,210.00,4620.00
,11/18/2025,Check,1254,Bank,Loan interest,1000 Checking,210.00,4830.00
,12/18/2025,Check,1265,Bank,Loan interest,1000 Checking,210.00,5040.00
,01/18/2026,Check,1276,Bank,Loan interest,1000 Checking,210.00,5250.00
,02/18/2026,Check,1287,Bank,Loan interest,1000 Checking,210.00,5460.00
,03/18/2026,Check,1298,Bank,Loan interest,1000 Checking,210.00,5670.00
,04/18/2026,Check,1309,Bank,Loan interest,1000 Checking,210.00,5880.00
,05/18/2026,Check,1320,Bank,Loan interest,1000 Checking,210.00,6090.00
,06/18/2026,Check,1331,Bank,Loan interest,1000 Checking,210.00,6300.00
,07/18/2026,Check,1342,Bank,Loan interest,1000 Checking,210.00,6510.00
,08/18/2026,Check,1353,Bank,Loan interest,1000 Checking,210.00,6720.00
,09/18/2026,Check,1364,Bank,Loan interest,1000 Checking,210.00,6930.00
,10/18/2026,Check,1375,Bank,Loan interest,1000 Checking,210.00,7140.00
,11/18/2026,Check,1386,Bank,Loan interest,1000 Checking,210.00,7350.00
,12/18/2026,Check,1397,Bank,Loan interest,1000 Checking,210.00,7560.00
Total for 8000 Interest Expense,,,,,,,7560.00,7560.00
